"LANGUAGE","Español","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Este mensaje es solo para informarle que el mod se ha actualizado.",""
"WHATSNEW_L2","Para obtener una lista detallada de los cambios, consulte Steam Workshop o GitHub.",""
"WHATSNEW_L3","¡Gracias por su uso y apoyo!",""
"MOD_DESCRIPTION","¡Conduce vehículos por tu ciudad!",""
"SETTINGS_GROUP_GENERAL","General Settings",""
"SETTINGS_GROUP_VEHICLE","Vehicle Settings",""
"SETTINGS_GROUP_CAMERA","Camera Settings",""
"SETTINGS_GROUP_GAME","Gameplay Settings",""
"SETTINGS_GROUP_KEYS","Keybinds",""
"SETTINGS_MAXVELOCITY","Velocidad máxima",""
"SETTINGS_ENGINEPOWER","Fuerza de aceleración",""
"SETTINGS_BRAKINGFORCE","Fuerza de frenar",""
"SETTINGS_BUILDINGCOLLISION","Building collision",""
"SETTINGS_VEHICLECOLLISION","Vehicle collision",""
"SETTINGS_OFFSET_X","Camera offset X",""
"SETTINGS_OFFSET_Y","Camera offset Y",""
"SETTINGS_OFFSET_Z","Camera offset Z",""
"SETTINGS_KEYUUITOGGLE","Toggle main panel (requires UUI mod)",""
"SETTINGS_KEYLIGHTTOGGLE","Toggle head light",""
"SETTINGS_KEYSIRENTOGGLE","Toggle siren for special vehicles",""
"MAINPANELBTN_TOOLTIP","IOperateIt revisado",""
"DRIVEBTN_TOOLTIP","Empieza a conducir",""
"SPAWNBTN_TEXT","Vehículo de generación",""
"MODSETTINGSBTN_TEXT","Mod settings",""
"ROAD_SELECT","Seleccione un segmento de camino para empezar conducir",""
